school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,1,4,2,0,2,0,7,2,0,1
4152013-tg213,0,0,0,0,6,2,1,1,0,0
4231058-tg158,1,1,1,0,1,0,1,3,0,0
4231064-tg164,0,2,2,0,1,1,2,0,0,0
4141008-tg108,1,1,0,0,2,0,2,1,0,0
4221018-tg118,0,1,1,0,0,1,0,1,0,0
4221074-tg174,0,1,1,0,0,1,0,0,0,0
4202058-tg258,0,2,0,0,0,0,0,0,0,0
4221026-tg126,0,0,0,0,0,0,1,1,0,0
4152008-tg208,0,1,0,0,0,0,0,0,0,0
4152012-tg212,0,1,0,0,0,0,0,0,0,0
4202010-tg210,0,0,0,0,1,0,0,0,0,0
4221040-tg140,0,0,1,0,0,0,0,0,0,0
