school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,12,30,11,8,45,15,97,29,5,22
4231058-tg158,3,18,8,1,20,8,5,17,1,0
4141009-tg109,1,5,1,1,7,4,27,1,0,0
4183023-tg23,4,3,2,2,8,3,6,6,3,2
4221040-tg140,1,2,3,8,11,4,0,7,2,0
4152012-tg212,0,10,1,0,6,2,1,6,1,0
4141008-tg108,2,6,3,1,4,3,3,1,0,0
4152013-tg213,0,1,0,0,16,2,1,2,0,0
4221026-tg126,2,2,0,0,8,1,2,4,3,0
4202058-tg258,0,8,3,0,4,3,2,1,0,1
4202004-tg204,0,4,1,0,3,5,5,2,0,0
4231046-tg146,2,4,1,0,1,6,0,0,0,0
4202010-tg210,2,5,0,0,5,0,0,0,0,0
4202003-tg203,0,5,2,0,0,4,0,0,0,0
4231082-tg182,1,2,0,1,2,2,0,3,0,0
4221067-tg167,2,0,0,1,5,0,0,3,0,0
4231064-tg164,0,2,2,2,1,1,2,0,0,0
4231084-tg184,0,4,1,0,0,1,0,1,0,0
4221018-tg118,0,1,1,0,3,1,0,1,0,0
4152002-tg202,1,1,1,0,1,2,0,0,0,0
4221017-tg117,2,3,0,0,1,0,0,0,0,0
4221074-tg174,0,2,1,0,0,2,0,0,0,0
4231023-tg123,0,1,0,0,0,1,0,3,0,0
4231043-tg143,0,2,0,0,0,1,1,0,0,0
4141012-tg112,0,1,0,0,1,1,0,1,0,0
4152008-tg208,0,2,1,0,0,1,0,0,0,0
4221095-tg195,1,0,0,0,1,0,0,1,0,0
4152023-tg223,0,1,1,0,0,0,0,1,0,0
4231051-tg151,0,0,0,0,2,1,0,0,0,0
4231057-tg157,0,0,0,0,0,0,1,1,0,0
4221024-tg124,0,1,0,0,0,1,0,0,0,0
4231033-tg133,0,0,0,0,1,1,0,0,0,0
4221068-tg168,0,0,0,0,1,0,0,1,0,0
4231027-tg127,0,0,0,0,0,0,0,1,0,0
4231079-tg179,0,1,0,0,0,0,0,0,0,0
4231080-tg180,0,0,0,0,0,0,1,0,0,0
4131007-tg107,0,0,0,0,0,1,0,0,0,0
