school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4221040-tg140,0,2,1,0,4,2,0,1,0,0
4231036-tg136,0,2,0,0,1,0,5,1,0,0
4202004-tg204,0,3,1,0,0,3,0,2,0,0
3051032-rj32,0,2,2,0,0,2,1,0,0,0
4231058-tg158,0,0,1,0,3,1,0,1,0,0
4152012-tg212,0,1,0,0,1,1,1,1,0,0
4231084-tg184,0,3,1,0,0,1,0,0,0,0
3051002-rj2,0,2,0,0,1,0,0,1,0,1
4152013-tg213,0,1,0,0,2,0,0,1,0,0
3051014-rj14,0,1,1,0,0,1,0,0,0,0
3051015-rj15,0,1,1,0,0,1,0,0,0,0
3051018-rj18,0,1,1,0,0,1,0,0,0,0
4141008-tg108,1,2,0,0,0,0,0,0,0,0
3051007-rj7,0,1,1,0,0,1,0,0,0,0
1011016-ct16,0,1,0,0,1,1,0,0,0,0
3072008-rj58,0,0,0,0,1,0,0,2,0,0
4231082-tg182,0,1,0,0,1,0,0,1,0,0
4141009-tg109,0,1,0,0,0,0,2,0,0,0
4202003-tg203,0,1,0,0,0,1,0,0,0,0
4183023-tg23,0,0,0,0,1,0,0,1,0,0
1011006-ct6,0,0,0,0,0,0,0,2,0,0
3072042-rj92,0,0,0,0,1,0,1,0,0,0
1011008-ct8,0,0,0,0,0,0,1,1,0,0
3051023-rj23,0,1,0,0,0,1,0,0,0,0
3072032-rj82,0,0,0,0,2,0,0,0,0,0
3072047-rj97,0,0,0,0,0,0,0,1,0,0
3072033-rj83,0,0,0,0,0,0,0,1,0,0
3072030-rj80,0,0,0,0,0,0,1,0,0,0
3072026-rj76,0,0,0,0,0,0,1,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,0
3051035-rj35,0,0,0,0,1,0,0,0,0,0
4202058-tg258,0,0,0,0,1,0,0,0,0,0
4221067-tg167,0,0,0,0,1,0,0,0,0,0
3051022-rj22,0,0,0,0,0,0,0,1,0,0
1011017-ct17,0,0,0,0,0,0,1,0,0,0
1011014-ct14,0,0,0,0,1,0,0,0,0,0
