school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4202003-tg203,0,0,0,0,0,0,8,18,8,2,2,4,0,0
4231036-tg136,0,0,5,1,0,0,0,0,0,0,0,0,0,0
4152002-tg202,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4202058-tg258,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141045-tg145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152012-tg212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152013-tg213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152023-tg223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202004-tg204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202009-tg209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
