school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4122100-tg300,0,7,4,2,4,6,1,1,0,0
4231036-tg136,3,3,1,0,1,3,8,3,0,0
1011009-ct9,0,0,0,0,0,0,14,0,0,0
4202034-tg234,0,2,1,4,2,2,0,0,0,0
4152031-tg231,0,1,0,0,2,1,2,1,0,0
4202003-tg203,0,2,1,0,0,3,0,0,0,0
1011001-ct1,0,1,2,0,0,0,0,2,0,0
4231082-tg182,1,1,0,0,1,1,0,1,0,0
3072024-rj74,0,1,0,1,1,0,1,1,0,0
4192081-tg281,1,1,1,0,1,0,0,0,0,0
3072032-rj82,0,1,0,0,0,1,1,1,0,0
3072026-rj76,0,1,0,0,1,1,0,0,0,0
3072030-rj80,0,0,0,0,1,0,2,0,0,0
3051002-rj2,0,0,0,0,1,0,0,1,0,1
3051013-rj13,0,0,0,0,2,0,1,0,0,0
3051050-rj50,0,0,0,0,1,0,1,1,0,0
3051031-rj31,0,0,0,0,1,0,1,1,0,0
4152002-tg202,0,1,1,0,0,1,0,0,0,0
3072022-rj72,0,0,0,0,1,0,0,1,0,0
1011004-ct4,2,0,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,1,0,1,0,0,0
3051032-rj32,0,0,0,0,1,0,1,0,0,0
3072043-rj93,0,0,0,0,0,0,1,1,0,0
3051023-rj23,0,0,0,0,1,0,0,1,0,0
4173074-tg74,0,1,0,0,0,1,0,0,0,0
3051006-rj6,0,0,0,0,1,0,0,1,0,0
2031027-mz27,0,0,0,0,0,0,2,0,0,0
1011018-ct18,0,0,0,0,0,0,2,0,0,0
4202058-tg258,0,1,0,0,1,0,0,0,0,0
3072044-rj94,1,0,0,0,1,0,0,0,0,0
4152092-tg292,0,1,0,0,0,0,0,0,0,0
4152012-tg212,0,1,0,0,0,0,0,0,0,0
4202004-tg204,0,0,0,0,1,0,0,0,0,0
3072050-rj100,0,0,0,0,0,0,1,0,0,0
3072015-rj65,0,0,0,0,1,0,0,0,0,0
3072041-rj91,0,0,0,0,1,0,0,0,0,0
2031009-mz9,0,0,0,0,0,0,1,0,0,0
1011006-ct6,0,0,0,0,1,0,0,0,0,0
1011011-ct11,0,0,0,0,1,0,0,0,0,0
1011013-ct13,0,0,0,0,0,0,1,0,0,0
1011014-ct14,0,0,0,0,0,0,1,0,0,0
1011016-ct16,0,0,0,0,0,0,1,0,0,0
1011017-ct17,0,0,0,0,0,0,0,1,0,0
3051011-rj11,0,0,0,0,1,0,0,0,0,0
3072040-rj90,0,0,0,0,1,0,0,0,0,0
3051035-rj35,0,0,0,1,0,0,0,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,0
3051041-rj41,0,0,0,0,1,0,0,0,0,0
3051047-rj47,0,0,0,0,1,0,0,0,0,0
3051049-rj49,0,1,0,0,0,0,0,0,0,0
