school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
1011009-ct9,0,0,0,0,0,0,80,0,0,0
2031009-mz9,0,0,1,0,16,2,18,3,0,2
2031030-mz30,0,0,0,0,0,0,33,0,0,0
3072028-rj78,0,0,0,0,30,0,0,2,0,0
2031008-mz8,0,0,0,0,12,0,12,3,0,0
2031011-mz11,2,0,0,0,0,0,24,0,0,0
2031014-mz14,0,0,0,0,0,0,26,0,0,0
2031028-mz28,0,0,0,0,16,0,10,0,0,0
3051031-rj31,0,0,0,1,14,0,9,0,0,0
3051022-rj22,0,3,0,0,0,0,12,8,0,0
1011018-ct18,0,2,4,0,4,2,5,5,0,0
3072023-rj73,0,1,0,0,3,0,3,12,0,2
3072035-rj85,0,0,0,0,19,0,0,0,0,0
3051011-rj11,0,0,0,0,0,0,0,16,0,0
3072006-rj56,0,0,0,0,16,0,0,0,0,0
3051015-rj15,0,0,0,0,0,0,0,15,0,0
3072022-rj72,0,0,0,0,15,0,0,0,0,0
3072020-rj70,0,0,0,0,15,0,0,0,0,0
3051032-rj32,0,0,0,0,14,0,0,0,0,0
3051044-rj44,0,0,0,0,12,0,0,0,0,0
3072009-rj59,0,0,0,0,0,0,0,11,0,0
3072018-rj68,0,0,0,0,10,0,0,0,0,0
3072027-rj77,0,0,0,0,0,0,9,1,0,0
4231036-tg136,0,1,0,3,0,1,5,0,0,0
3072033-rj83,3,0,0,0,3,0,0,3,0,0
2031027-mz27,0,0,0,0,0,0,9,0,0,0
3072032-rj82,0,0,0,0,0,0,0,9,0,0
3051050-rj50,0,0,0,0,2,0,7,0,0,0
3051002-rj2,0,0,0,0,0,0,0,8,0,0
3051049-rj49,0,0,0,0,2,0,6,0,0,0
3051001-rj1,0,0,0,0,8,0,0,0,0,0
4122100-tg300,0,6,0,0,1,0,0,0,0,0
3072002-rj52,0,0,0,0,1,0,0,4,0,1
1011011-ct11,0,0,0,0,6,0,0,0,0,0
4152031-tg231,0,2,0,0,0,0,0,4,0,0
4192081-tg281,0,2,0,0,2,1,0,0,0,0
4152012-tg212,0,1,2,0,0,2,0,0,0,0
3072030-rj80,0,1,1,0,0,1,0,1,0,0
1011001-ct1,0,0,0,0,0,0,0,4,0,0
4231082-tg182,0,0,0,4,0,0,0,0,0,0
3051027-rj27,0,0,0,0,3,0,0,0,0,1
3051006-rj6,0,0,0,0,0,0,4,0,0,0
3072048-rj98,0,0,0,0,1,0,0,2,0,0
3072024-rj74,0,0,0,0,0,0,2,1,0,0
1011010-ct10,0,0,0,0,1,0,0,2,0,0
3051026-rj26,0,0,0,0,1,0,0,2,0,0
3072036-rj86,0,0,0,0,3,0,0,0,0,0
3072044-rj94,0,0,0,3,0,0,0,0,0,0
4231046-tg146,0,1,0,0,0,1,0,0,0,0
3051004-rj4,0,1,0,0,0,0,0,1,0,0
