school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051032-rj32,1,9,8,0,17,8,12,3,0,0
3051002-rj2,0,5,3,0,9,2,0,8,0,2
3051031-rj31,1,4,0,2,11,1,3,5,0,0
3072032-rj82,2,3,0,0,7,1,1,6,0,0
3072026-rj76,0,3,1,0,9,3,3,1,0,0
3051026-rj26,0,3,0,0,5,0,2,2,1,2
3072024-rj74,0,1,0,1,2,0,6,4,0,0
3051036-rj36,0,2,2,0,4,1,0,2,1,2
3072023-rj73,0,1,0,0,3,0,4,4,0,1
3051050-rj50,0,0,0,0,6,0,2,4,0,0
3051001-rj1,0,2,0,0,4,1,0,4,0,0
3051005-rj5,0,2,0,0,5,3,1,0,0,0
3072030-rj80,0,1,1,0,2,1,3,2,0,0
3051049-rj49,0,1,0,0,1,0,1,5,1,1
3072008-rj58,0,1,1,0,3,0,0,5,0,0
3051006-rj6,0,0,0,0,2,0,1,5,1,1
3051023-rj23,0,2,0,1,3,2,1,1,0,0
3051015-rj15,0,2,1,1,1,2,1,1,0,0
3072006-rj56,0,1,0,1,3,1,2,1,0,0
3072048-rj98,0,2,2,0,3,1,0,1,0,0
3072002-rj52,0,0,0,1,2,0,0,4,0,2
3051022-rj22,0,1,0,0,0,0,4,4,0,0
3051013-rj13,0,1,0,0,3,1,2,0,0,0
3072050-rj100,0,2,0,0,2,0,1,1,0,1
3072040-rj90,0,0,0,0,6,1,0,0,0,0
3051025-rj25,0,0,0,0,2,0,4,0,0,0
3051044-rj44,0,0,0,0,1,0,0,3,1,1
3072028-rj78,0,0,0,0,4,0,0,2,0,0
3051014-rj14,0,1,1,1,1,1,0,1,0,0
3072047-rj97,1,1,1,0,1,0,0,2,0,0
3051027-rj27,0,1,0,0,2,0,0,2,0,1
3072027-rj77,0,0,0,0,1,0,4,1,0,0
3072031-rj81,0,1,0,0,0,1,0,3,0,0
3072046-rj96,0,2,1,0,1,1,0,0,0,0
3051007-rj7,0,1,1,1,1,1,0,0,0,0
3051008-rj8,0,0,0,1,3,0,1,0,0,0
3051024-rj24,0,2,1,0,0,2,0,0,0,0
3051018-rj18,0,1,1,1,1,1,0,0,0,0
3051004-rj4,0,1,0,0,0,0,0,3,0,0
3072033-rj83,1,0,0,0,1,0,0,2,0,0
3072022-rj72,0,0,0,0,3,0,0,1,0,0
3051010-rj10,0,0,0,0,1,0,0,3,0,0
3072044-rj94,1,0,0,1,2,0,0,0,0,0
3051011-rj11,0,0,0,0,1,0,1,2,0,0
3072049-rj99,0,0,0,0,1,0,0,2,0,0
3051030-rj30,0,0,0,0,3,0,0,0,0,0
3072043-rj93,0,0,0,0,1,0,1,1,0,0
3072041-rj91,0,0,0,0,3,0,0,0,0,0
3072036-rj86,0,0,0,0,2,0,0,1,0,0
3072020-rj70,0,0,0,0,3,0,0,0,0,0
