school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231036-tg136,71,73,106,73,32,60,30,28,19,38,25,47,18,0
3072036-rj86,6,27,41,27,6,34,66,86,55,55,32,49,30,0
4231058-tg158,73,59,50,34,29,23,23,30,31,29,17,30,14,0
3072026-rj76,61,8,72,38,31,42,18,15,35,23,37,36,0,0
3072032-rj82,44,26,51,10,7,28,35,32,38,50,36,17,19,0
4141009-tg109,49,38,46,33,16,16,29,52,26,19,15,41,10,0
3072008-rj58,11,13,29,5,5,32,52,17,31,38,74,52,13,0
3072023-rj73,39,28,56,37,7,16,37,4,30,63,11,26,7,0
1011018-ct18,40,30,71,12,14,13,42,26,26,20,37,28,0,0
3051002-rj2,24,27,16,18,22,35,37,22,34,42,31,32,18,0
4202058-tg258,93,43,32,27,16,15,13,11,32,21,15,21,17,0
4202004-tg204,50,44,30,27,30,16,10,28,16,31,29,36,6,0
3072002-rj52,28,20,34,6,3,15,54,25,16,50,43,48,5,0
4152013-tg213,37,37,24,6,6,26,29,33,34,23,42,35,13,0
1011009-ct9,77,13,120,29,2,11,2,5,10,9,55,1,1,0
1011001-ct1,45,29,23,2,10,12,74,29,48,40,13,3,2,0
1011019-ct19,8,12,68,7,2,3,47,38,60,11,45,23,6,0
4183023-tg23,38,14,34,31,8,19,32,43,10,19,34,35,1,0
3051032-rj32,25,24,34,32,28,30,11,7,21,29,22,26,27,0
4202010-tg210,57,45,14,5,11,17,17,31,42,12,18,16,15,0
4152012-tg212,26,22,27,10,20,11,27,32,28,21,22,24,15,0
3072030-rj80,45,17,26,8,3,12,58,2,49,10,20,26,0,0
4231046-tg146,82,52,22,4,10,11,21,8,15,8,12,9,4,0
3072042-rj92,54,15,53,10,4,8,41,2,38,5,1,23,1,0
2031009-mz9,34,27,26,18,12,27,20,25,22,24,4,11,0,0
3072024-rj74,56,10,46,17,3,33,4,4,7,43,3,22,0,0
3072044-rj94,9,19,29,7,6,28,18,40,11,21,30,16,12,0
4231084-tg184,16,8,23,4,11,0,59,37,52,19,0,16,0,0
3051001-rj1,16,19,24,7,6,18,28,28,17,26,35,11,7,0
3072040-rj90,26,12,23,2,3,36,1,26,23,6,45,32,0,0
3051026-rj26,38,34,14,18,14,23,13,10,12,31,11,5,11,0
3072050-rj100,30,12,30,23,8,24,31,14,23,21,0,16,1,0
3051036-rj36,34,11,8,4,7,5,6,21,28,15,37,39,14,0
4221026-tg126,20,26,23,4,15,5,6,50,28,16,11,12,11,0
3072015-rj65,28,16,21,4,3,4,34,23,14,26,20,31,1,0
3072028-rj78,6,10,41,2,2,52,22,6,5,22,37,17,1,0
3072001-rj51,5,5,31,2,2,30,35,29,6,21,25,30,0,0
3051006-rj6,8,8,17,7,2,13,39,1,26,48,24,21,4,0
4221040-tg140,48,21,17,2,3,15,16,27,27,10,2,29,1,0
4152002-tg202,45,28,14,4,6,8,5,14,40,15,19,13,3,0
3072013-rj63,25,13,12,2,4,13,7,33,17,8,27,37,14,0
3051031-rj31,14,15,26,13,3,36,23,14,11,22,18,6,4,0
2031030-mz30,74,7,60,5,4,2,2,7,5,3,34,1,0,0
3051005-rj5,31,17,16,15,11,15,33,8,7,20,12,11,7,0
1011022-ct22,23,5,45,9,3,3,32,23,28,11,13,3,3,0
4231023-tg123,36,24,14,4,15,3,10,30,14,16,7,21,5,0
3072006-rj56,5,6,19,4,2,20,11,35,4,17,38,36,1,0
3051004-rj4,38,17,17,4,5,2,12,7,27,25,26,12,1,0
1011007-ct7,41,27,4,2,8,8,53,2,8,17,9,4,9,0
3051033-rj33,31,12,12,5,5,5,34,6,23,19,29,4,6,0
