school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
3051025-rj25,0.0,0.0,0.0,0.0,16.0,0.0,11.5,0.0,0.0,0.0
2031011-mz11,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
1011024-ct24,0.0,0.0,0.0,0.0,3.0,0.0,18.444444444444443,0.0,0.0,0.0
1011011-ct11,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0
2031009-mz9,0.0,0.0,0.0,0.0,9.333333333333334,0.0,3.0,3.0,0.0,0.0
3051032-rj32,2.0,0.0,0.0,0.0,7.714285714285714,1.0,0.0,1.5,0.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,3.0,0.0
1011023-ct23,0.0,1.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
1011020-ct20,0.0,0.0,1.0,0.0,1.0,0.0,7.333333333333333,0.0,0.0,0.0
2031016-mz16,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
3051031-rj31,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
3072019-rj69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
2031030-mz30,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,7.642857142857143,0.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
3072041-rj91,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
4221040-tg140,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2031017-mz17,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3051001-rj1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2031007-mz7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4221067-tg167,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4221074-tg174,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1011006-ct6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1011005-ct5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1011001-ct1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3072031-rj81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3072012-rj62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072002-rj52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3051044-rj44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1011018-ct18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1011010-ct10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
