school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4122100-tg300,2,6,2,0,4,4,3,3,0,0
4202034-tg234,2,5,1,0,6,2,0,0,0,0
4152092-tg292,0,2,1,0,2,2,1,1,0,0
4202004-tg204,0,3,1,0,0,3,0,2,0,0
4231036-tg136,0,2,0,0,1,0,5,1,0,0
4152072-tg272,0,1,0,0,2,1,3,1,0,0
4231058-tg158,0,0,1,0,3,1,0,1,0,0
4152012-tg212,0,1,0,0,1,1,1,1,0,0
4152038-tg238,0,0,0,0,1,1,0,3,0,0
4231084-tg184,0,3,1,0,0,1,0,0,0,0
4141009-tg109,0,1,0,0,0,0,2,0,0,0
4192081-tg281,1,0,0,0,2,0,0,0,0,0
4231082-tg182,0,1,0,0,1,0,0,1,0,0
4202003-tg203,0,1,0,0,0,1,0,0,0,0
4202058-tg258,0,0,0,0,1,0,0,0,0,0
4221067-tg167,0,0,0,0,1,0,0,0,0,0
