school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051002-rj2,0,12,9,0,13,12,0,0,0,0
4152031-tg231,1,11,2,3,14,2,4,2,0,0
4231036-tg136,0,0,0,5,20,0,13,1,0,0
3051032-rj32,0,5,5,0,2,4,14,2,0,0
3072026-rj76,0,2,0,0,21,1,5,0,0,0
3072040-rj90,0,0,0,0,28,0,0,0,0,0
3051026-rj26,0,12,0,0,0,0,0,0,11,4
3051023-rj23,0,1,0,4,4,1,12,0,0,0
3072020-rj70,0,0,0,0,22,0,0,0,0,0
3072050-rj100,0,0,0,0,20,0,0,0,0,0
3051015-rj15,0,1,0,4,4,1,10,0,0,0
3072022-rj72,0,0,0,0,18,0,0,0,0,0
4141009-tg109,0,0,0,0,2,0,14,0,0,0
4122100-tg300,0,5,3,4,1,2,0,1,0,0
4202034-tg234,1,5,0,4,5,1,0,0,0,0
3072032-rj82,1,1,0,0,7,0,0,6,0,0
4202004-tg204,0,4,0,0,5,3,3,0,0,0
3051031-rj31,0,0,0,0,14,0,0,0,0,0
3072048-rj98,0,4,2,0,2,4,0,0,0,0
4152072-tg272,0,0,1,0,0,0,10,0,0,0
3072028-rj78,0,0,0,0,1,0,0,10,0,0
3072008-rj58,0,2,2,0,5,0,0,2,0,0
3051014-rj14,0,0,0,4,5,0,0,1,0,0
3051005-rj5,0,4,0,0,3,1,0,0,0,0
3072031-rj81,0,0,0,0,0,0,0,8,0,0
3051050-rj50,0,0,0,0,4,0,0,3,0,0
4173074-tg74,1,0,0,4,0,0,1,1,0,0
1011007-ct7,0,0,0,0,5,0,0,0,0,0
3051018-rj18,0,0,0,2,3,0,0,0,0,0
3051007-rj7,0,0,0,2,3,0,0,0,0,0
1011011-ct11,0,0,0,0,0,0,5,0,0,0
1011019-ct19,0,0,0,0,0,1,4,0,0,0
1011018-ct18,0,0,0,0,0,0,4,0,0,0
1011014-ct14,0,0,0,0,1,0,0,2,0,0
3072006-rj56,0,0,0,0,1,0,2,0,0,0
1011028-ct28,0,2,0,0,1,0,0,0,0,0
3072014-rj64,0,0,0,0,2,0,0,0,0,0
3051011-rj11,0,0,0,0,0,0,2,0,0,0
3051006-rj6,0,0,0,0,0,0,0,2,0,0
4152012-tg212,0,1,0,0,1,0,0,0,0,0
4152038-tg238,0,0,0,0,2,0,0,0,0,0
4173079-tg79,0,0,0,1,0,0,0,1,0,0
4202003-tg203,0,1,1,0,0,0,0,0,0,0
1011016-ct16,0,0,0,0,0,0,2,0,0,0
1011020-ct20,0,0,0,0,0,0,0,1,0,0
1011009-ct9,0,0,0,0,1,0,0,0,0,0
4231058-tg158,0,0,0,1,0,0,0,0,0,0
