school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,1,2,1,0,14,2,27,1,0,0
4221026-tg126,1,2,0,0,8,1,2,3,3,0
4141009-tg109,2,2,0,0,0,0,8,0,0,0
4231058-tg158,0,2,0,0,3,0,1,4,0,0
4141008-tg108,0,2,2,0,0,2,0,0,0,0
4202010-tg210,2,1,0,0,2,0,0,0,0,0
4231046-tg146,1,1,0,0,0,1,0,0,0,0
4221067-tg167,0,0,0,0,0,0,0,2,0,0
4231027-tg127,0,0,0,0,0,0,0,2,0,0
4152012-tg212,0,1,0,0,0,0,0,0,0,0
4202003-tg203,0,1,0,0,0,0,0,0,0,0
4221017-tg117,1,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,0,0,0,1,0,0
4221068-tg168,0,0,0,0,1,0,0,0,0,0
