school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3072006-rj56,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0
3072020-rj70,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0
2031009-mz9,0.0,0.0,1.0,0.0,354.5,1.0,15.458333333333332,12.0,0.0,20.0
3051031-rj31,0.0,0.0,0.0,6.0,369.0,0.0,23.483333333333334,0.0,0.0,0.0
3072028-rj78,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0
2031028-mz28,0.0,0.0,0.0,0.0,258.0,0.0,33.68333333333334,0.0,0.0,0.0
3072035-rj85,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0
1011011-ct11,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
1011018-ct18,0.0,21.5,23.5,0.0,106.0,21.0,6.404166666666668,8.0,0.0,0.0
2031008-mz8,0.0,0.0,0.0,0.0,152.0,0.0,25.083333333333336,9.0,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,3.0,0.0,2.7499999999999996,87.5,0.0,84.0
3051015-rj15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
3072032-rj82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0
3051001-rj1,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,0.0,34.0,34.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,110.0,0.0,20.500000000000004,0.0,0.0,0.0
3072022-rj72,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
3072033-rj83,71.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3051044-rj44,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
3072009-rj59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
3072002-rj52,0.0,0.0,0.0,0.0,5.0,0.0,0.0,49.0,0.0,11.0
2031011-mz11,10.0,0.0,0.0,0.0,0.0,0.0,53.161111111111104,0.0,0.0,0.0
4152012-tg212,0.0,14.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
2031030-mz30,0.0,0.0,0.0,0.0,0.0,0.0,51.39166666666668,0.0,0.0,0.0
4231082-tg182,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,5.0,0.0,32.5,0.0,5.0,5.295833333333333,0.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,46.55,0.0,0.0,0.0
4231046-tg146,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
4221040-tg140,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
1011001-ct1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
1011009-ct9,0.0,0.0,0.0,0.0,0.0,0.0,37.70454545454547,0.0,0.0,0.0
3051027-rj27,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,10.0
3072018-rj68,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
3051022-rj22,0.0,0.0,0.0,0.0,0.0,0.0,19.466666666666665,10.333333333333334,0.0,0.0
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0
3072044-rj94,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,2.0,0.0,16.28333333333333,0.0,0.0,0.0
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,13.883333333333333,0.0,0.0,0.0
3051026-rj26,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
3072027-rj77,0.0,0.0,0.0,0.0,0.0,0.0,9.8875,0.0,0.0,0.0
3072026-rj76,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
3051010-rj10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
3072048-rj98,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,0.0,0.0,4.158333333333333,0.0,0.0,0.0
3051004-rj4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051008-rj8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
