school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051026-rj26,0.0,0.0,0.0,0.0,603.0,0.0,42.31666666666667,0.0,0.0,0.0
3072002-rj52,0.0,0.0,0.0,14.0,132.0,0.0,0.0,277.0,0.0,168.0
3051008-rj8,0.0,0.0,0.0,35.0,531.0,0.0,22.33333333333333,0.0,0.0,0.0
3051036-rj36,0.0,100.0,70.0,0.0,67.0,87.0,0.0,0.0,0.0,130.5
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,387.0,26.0
3072046-rj96,0.0,325.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072008-rj58,0.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,1.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0
3072025-rj75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,38.0
3051044-rj44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,105.0,13.0
3072031-rj81,0.0,150.0,0.0,0.0,0.0,92.0,0.0,3.0,0.0,0.0
3072028-rj78,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0
3072020-rj70,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0
3051024-rj24,0.0,59.0,60.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0
3072018-rj68,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
3072026-rj76,0.0,0.0,0.0,0.0,9.0,0.0,0.0,96.0,0.0,0.0
3072034-rj84,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0
3072029-rj79,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0
2031009-mz9,0.0,28.0,0.0,0.0,28.0,20.0,7.85,10.0,0.0,0.0
3072006-rj56,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,0.0
3072027-rj77,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
4231082-tg182,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0
3072047-rj97,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
4231033-tg133,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,41.883333333333326,0.0,0.0,0.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,36.71666666666667,0.0,0.0,0.0
1011018-ct18,0.0,0.0,0.0,0.0,0.0,0.0,33.18333333333333,0.0,0.0,0.0
3051027-rj27,0.0,2.0,0.0,0.0,7.0,0.0,0.0,19.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
1011017-ct17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,3.0,0.0,16.725,0.0,0.0,0.0
3051004-rj4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,0.0,0.0,17.175,0.0,0.0,0.0
3072044-rj94,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
4152023-tg223,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
3051013-rj13,0.0,0.0,0.0,0.0,0.0,0.0,9.583333333333332,0.0,0.0,0.0
3051010-rj10,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,0.0,0.0,0.0,7.033333333333333,0.0,0.0,0.0
4221018-tg118,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
3072043-rj93,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,0.5,0.0,0.0,0.0,1.0,1.2166666666666666,0.0,0.0,0.0
3072048-rj98,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1011001-ct1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3051028-rj28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
