school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051022-rj22,0,1,0,0,0,0,4,3,0,0
3072023-rj73,0,1,0,0,1,0,1,2,0,1
3072027-rj77,0,0,0,0,0,0,4,1,0,0
3072030-rj80,0,1,1,0,0,1,0,1,0,0
3072002-rj52,0,0,0,0,1,0,0,2,0,1
3072024-rj74,0,0,0,0,0,0,2,1,0,0
3072028-rj78,0,0,0,0,2,0,0,1,0,0
3072033-rj83,1,0,0,0,1,0,0,1,0,0
3072040-rj90,0,0,0,0,2,1,0,0,0,0
3051026-rj26,0,0,0,0,2,0,0,1,0,0
3051031-rj31,0,0,0,1,1,0,1,0,0,0
3051049-rj49,0,0,0,0,1,0,1,0,0,0
3051050-rj50,0,0,0,0,1,0,1,0,0,0
3072018-rj68,0,0,0,0,2,0,0,0,0,0
3051032-rj32,0,0,0,0,2,0,0,0,0,0
3051027-rj27,0,0,0,0,1,0,0,0,0,1
3072048-rj98,0,0,0,0,1,0,0,1,0,0
3051004-rj4,0,1,0,0,0,0,0,1,0,0
3072035-rj85,0,0,0,0,1,0,0,0,0,0
3072026-rj76,0,0,0,0,1,0,0,0,0,0
3072044-rj94,0,0,0,1,0,0,0,0,0,0
3072032-rj82,0,0,0,0,0,0,0,1,0,0
3072046-rj96,0,1,0,0,0,0,0,0,0,0
3072029-rj79,0,0,0,0,0,0,1,0,0,0
3072047-rj97,0,0,1,0,0,0,0,0,0,0
3072036-rj86,0,0,0,0,1,0,0,0,0,0
3051001-rj1,0,0,0,0,1,0,0,0,0,0
3072025-rj75,0,0,0,0,0,0,1,0,0,0
3072022-rj72,0,0,0,0,1,0,0,0,0,0
3072020-rj70,0,0,0,0,1,0,0,0,0,0
3051002-rj2,0,0,0,0,0,0,0,1,0,0
3072009-rj59,0,0,0,0,0,0,0,1,0,0
3072006-rj56,0,0,0,0,1,0,0,0,0,0
3051044-rj44,0,0,0,0,1,0,0,0,0,0
3051041-rj41,1,0,0,0,0,0,0,0,0,0
3051015-rj15,0,0,0,0,0,0,0,1,0,0
3051011-rj11,0,0,0,0,0,0,0,1,0,0
3051010-rj10,0,0,0,0,0,0,0,1,0,0
3051008-rj8,0,0,0,0,1,0,0,0,0,0
3051006-rj6,0,0,0,0,0,0,1,0,0,0
3072050-rj100,0,0,0,0,0,0,0,0,0,1
