school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4122100-tg300,0,0,2,0,5,0,0,0,0,0,0,0,0,0
4152012-tg212,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4152031-tg231,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4231036-tg136,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4112043-tg243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152092-tg292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202004-tg204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202034-tg234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
