school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4122100-tg300,4.0,9.0,2.0,5.0,18.0,17.0,36.0,8.0
4231036-tg136,4.0,13.0,3.0,3.0,2.0,0.0,7.0,32.0
4202034-tg234,0.0,25.0,7.0,6.0,9.0,6.0,10.0,0.0
4192081-tg281,5.0,22.0,9.0,0.0,5.0,2.0,6.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,7.0,7.0,8.0,0.0
4202004-tg204,5.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0
4152031-tg231,4.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0
4202083-tg283,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
4152072-tg272,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
4141008-tg108,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
4202003-tg203,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
4152017-tg217,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
4152035-tg235,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4202059-tg259,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4231029-tg129,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
4152012-tg212,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4183023-tg23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
