school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,6,12,3,6,23,6,47,7,1,1
4122100-tg300,4,24,15,4,15,20,14,9,0,0
4202034-tg234,4,12,5,12,17,10,0,3,0,2
4152031-tg231,1,6,5,3,9,4,12,13,0,0
4141045-tg145,3,8,0,0,11,8,2,10,0,9
4183023-tg23,4,3,2,2,8,3,5,6,3,2
4221040-tg140,1,2,2,8,11,4,0,6,2,0
4231029-tg129,0,7,2,0,11,3,1,10,0,1
4173074-tg74,4,3,1,2,2,2,3,4,1,1
4152001-tg201,1,3,2,0,1,2,2,2,0,1
4152015-tg215,0,0,2,0,2,3,0,4,1,1
4141008-tg108,1,5,3,0,1,3,0,0,0,0
4141009-tg109,0,1,0,0,1,1,10,0,0,0
4173075-tg75,0,5,1,0,1,3,0,3,0,0
4192081-tg281,1,2,0,0,6,2,0,1,0,0
4221067-tg167,2,0,0,1,5,0,0,3,0,0
4202083-tg283,1,3,1,0,2,1,0,2,0,0
4213025-tg25,0,1,0,0,3,0,4,1,0,0
4202004-tg204,0,2,1,0,1,3,0,2,0,0
4221074-tg174,0,2,0,0,3,1,0,2,0,0
4152012-tg212,0,3,1,0,0,1,0,2,0,0
4231084-tg184,0,4,1,0,0,1,0,0,0,0
4231058-tg158,0,0,1,0,3,1,0,1,0,0
4202059-tg259,0,0,0,0,2,0,0,4,0,0
4231078-tg178,0,2,1,0,0,1,1,0,0,0
4231046-tg146,1,1,0,0,1,2,0,0,0,0
4141012-tg112,0,1,0,0,1,1,0,1,0,0
4152002-tg202,0,1,1,0,1,1,0,0,0,0
4152017-tg217,0,2,0,0,0,1,0,1,0,0
4152023-tg223,0,1,1,0,0,0,0,1,0,0
4202010-tg210,0,2,1,0,0,0,0,0,0,0
4202003-tg203,0,1,0,0,0,2,0,0,0,0
4231051-tg151,0,1,1,0,0,1,0,0,0,0
4231050-tg150,0,1,0,0,2,0,0,0,0,0
4152035-tg235,0,1,0,0,0,1,0,1,0,0
4231023-tg123,0,0,0,0,0,1,0,1,0,0
4221018-tg118,0,0,0,0,2,0,0,0,0,0
4221068-tg168,0,0,0,0,1,0,0,1,0,0
4152072-tg272,0,0,0,0,1,0,1,0,0,0
4221026-tg126,0,1,0,0,0,0,0,1,0,0
4202074-tg274,0,1,0,0,0,0,0,0,0,0
4231043-tg143,0,1,0,0,0,0,0,0,0,0
4152038-tg238,0,0,0,0,0,0,0,1,0,0
4152030-tg230,0,0,0,0,1,0,0,0,0,0
4152041-tg241,0,1,0,0,0,0,0,0,0,0
4152092-tg292,0,1,0,0,0,0,0,0,0,0
