school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
3072026-rj76,10.0,0.0,0.0,6.666666666666667,0.0,0.0,2.0,0.0,3.0,24.0
3072032-rj82,5.5,0.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,21.0
3051006-rj6,11.666666666666666,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
3072029-rj79,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,11.0,0.0
3072008-rj58,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,16.0,0.0
1011011-ct11,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,19.166666666666668
3072050-rj100,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,8.0
3072024-rj74,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0
3072031-rj81,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0
3051049-rj49,8.4,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
1011024-ct24,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.555555555555557
3051036-rj36,3.5,5.0,2.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0
3051026-rj26,5.5,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,11.0
3051025-rj25,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.25
3072028-rj78,2.0,0.0,0.0,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668
1011018-ct18,1.6666666666666667,0.0,0.0,4.5,0.0,0.0,2.5,2.3333333333333335,2.0,5.5
3072035-rj85,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3072043-rj93,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
3051031-rj31,1.0,0.0,0.0,6.75,2.0,1.0,1.0,0.0,1.0,5.0
3072023-rj73,4.25,0.0,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,1.0,7.5
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0
1011001-ct1,3.5,0.0,0.0,2.5,0.0,1.5,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.0
4122100-tg300,1.5,0.0,0.0,1.3,1.0,2.5,1.8181818181818181,2.5714285714285716,3.933333333333333,2.142857142857143
4202034-tg234,0.0,0.0,0.0,4.444444444444445,4.5,1.3333333333333333,1.6666666666666667,1.5,2.1666666666666665,0.0
3072027-rj77,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.25
3051047-rj47,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0
3051013-rj13,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2.5
3072044-rj94,0.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0
3072047-rj97,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0
3051015-rj15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051014-rj14,1.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,3.0,0.0
4231036-tg136,1.6666666666666667,0.0,0.0,2.6666666666666665,1.3333333333333333,2.5,1.0,0.0,1.4285714285714286,4.32
2031008-mz8,3.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,7.0
2031011-mz11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.5
3051044-rj44,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
4192081-tg281,1.25,0.0,0.0,2.769230769230769,4.5,0.0,1.6666666666666667,2.0,1.6666666666666667,0.0
3072002-rj52,5.333333333333333,0.0,3.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
3072009-rj59,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3051032-rj32,1.5,0.0,0.0,8.5,2.0,0.0,1.0,0.0,0.0,0.0
3051022-rj22,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
3072006-rj56,2.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,1.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428571428571429
1011009-ct9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.1
4152031-tg231,3.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5
3072022-rj72,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0
4202083-tg283,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.3333333333333333,1.0
3072018-rj68,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
