school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
4122100-tg300,9,10,33,11,39,4,18,21,15,13,9,13,1
4152031-tg231,15,5,25,15,2,2,0,13,4,26,0,10,0
4152015-tg215,10,4,0,0,0,0,13,20,20,21,10,5,0
3072036-rj86,0,0,1,3,0,0,20,8,20,26,3,14,0
3072023-rj73,0,0,24,5,1,0,4,0,0,34,0,0,0
1011018-ct18,3,0,5,0,11,0,0,2,4,11,16,15,0
3072044-rj94,0,0,2,0,0,8,8,29,0,2,17,0,0
3072050-rj100,0,0,17,16,4,1,8,11,0,8,0,0,0
3072014-rj64,0,0,8,0,0,0,0,20,0,4,19,11,0
3072032-rj82,0,0,17,1,1,0,1,0,3,28,3,0,0
3072015-rj65,0,0,1,0,0,0,14,18,0,7,14,0,0
3051022-rj22,0,0,22,6,0,0,0,0,10,15,0,0,0
3051032-rj32,0,0,19,0,2,5,0,0,0,19,0,8,0
3072002-rj52,0,0,20,0,0,0,0,0,0,27,0,0,0
3051006-rj6,0,0,1,0,0,2,6,0,11,19,2,5,0
3051018-rj18,11,0,7,2,4,2,0,14,0,2,0,2,0
3072026-rj76,0,0,13,0,3,3,0,0,3,18,3,0,0
1011014-ct14,3,0,16,0,0,0,14,4,0,2,3,0,0
4202034-tg234,0,1,6,0,10,6,3,9,0,6,0,0,0
3072013-rj63,1,0,0,0,0,0,2,5,0,2,12,15,4
3072016-rj66,0,0,0,0,0,0,0,13,0,2,0,25,0
1011001-ct1,1,0,1,0,8,6,3,0,1,17,1,0,0
3051001-rj1,0,0,5,0,0,1,1,12,0,10,4,0,0
3072046-rj96,0,0,0,0,16,0,0,0,14,2,0,0,0
3072025-rj75,0,0,14,0,0,0,0,0,0,16,0,0,0
3051025-rj25,2,0,8,15,1,0,0,0,0,4,0,0,0
3072040-rj90,0,0,13,0,0,1,0,0,0,0,13,0,0
1011006-ct6,2,0,1,0,0,0,0,9,0,13,0,0,0
1011019-ct19,0,0,1,0,0,0,1,1,7,4,11,0,0
3051013-rj13,0,0,21,0,0,1,2,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,6,4,0,0,3,11,0,0
3051024-rj24,6,0,0,0,18,0,0,0,0,0,0,0,0
-ct34,4,0,4,0,0,0,0,0,0,13,1,1,0
3072024-rj74,0,0,4,0,0,0,0,0,0,19,0,0,0
1011011-ct11,20,0,0,0,0,0,0,0,0,2,0,0,0
4231084-tg184,0,0,0,0,8,0,7,4,0,2,0,0,0
1011004-ct4,17,1,0,0,0,0,0,0,0,2,0,0,0
3051049-rj49,0,0,9,1,1,1,2,0,0,3,0,3,0
3072031-rj81,0,0,0,0,14,0,0,0,1,2,1,0,0
3072027-rj77,0,0,6,6,0,0,0,0,3,3,0,0,0
3072043-rj93,0,0,13,0,0,0,1,0,0,3,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,11,3,1,0
4221074-tg174,2,0,0,0,1,0,0,2,0,3,0,6,0
3072008-rj58,0,0,0,0,0,0,8,0,0,2,4,0,0
1011009-ct9,0,0,3,0,0,0,0,0,0,2,9,0,0
2031017-mz17,6,3,2,0,1,0,0,0,0,2,0,0,0
3051014-rj14,0,0,0,0,4,5,0,0,0,2,2,0,0
1011016-ct16,3,0,4,0,1,0,0,0,0,2,0,0,0
3051010-rj10,0,0,1,3,2,1,0,0,0,2,0,1,0
4202004-tg204,0,0,0,0,3,0,0,0,0,6,0,1,0
